"time","ELI_lon"
76653,209.431514257621
76654,210.869849445325
76655,211.003011596521
76656,209.947771587744
76657,208.324460449461
76658,208.064244127685
76659,207.025655923975
76660,205.550234110381
76661,206.802785714286
76662,209.07012195122
76663,211.320531367686
76664,211.569846501337
76665,211.085512939002
76666,211.447758838384
76667,212.688050710304
76668,212.873986029743
76669,212.504033695846
76670,212.318717983284
76671,212.676018584703
76672,213.260577696363
76673,213.052671042337
76674,214.642932965941
76675,216.476203451408
76676,216.115393350291
76677,214.829610821499
76678,214.60788973384
76679,213.964707357097
76680,214.110446985447
76681,213.933344702137
76682,213.964031594021
76683,214.209888745863
76684,214.353682542731
76685,213.747613531047
76686,214.298492148465
76687,215.240535932856
76688,216.562602804952
76689,217.122148036788
76690,217.230439406281
76691,217.489382022472
76692,215.888952547856
76693,215.51569864153
76694,215.772402721871
76695,216.14411609118
76696,216.61708337272
76697,216.547145817634
76698,217.488506409666
76699,217.701822916667
76700,217.106016519617
76701,215.87882859317
76702,214.007633768198
76703,213.065164998146
76704,213.065126641651
76705,212.272634584013
76706,211.980293945598
76707,213.060727217864
76708,212.575748502994
76709,212.641879012841
76710,212.094937663382
76711,211.143109846611
76712,211.615381755082
76713,212.395594242365
76714,212.512275376396
76715,213.399041662703
76716,214.258997940653
76717,214.049997677228
76718,213.332885388427
76719,212.072807933194
76720,210.186975377728
76721,209.340333333333
76722,208.96516474302
76723,209.690842179051
76724,211.785346510493
76725,213.083639969416
76726,211.442114914425
76727,209.190493574767
76728,207.436673151751
76729,207.739437334958
76730,206.985379210581
76731,207.61350308642
76732,208.359532733633
76733,207.212319471474
76734,207.472764618011
76735,209.466646014044
76736,211.342707716598
76737,211.779244719012
76738,212.050215538119
76739,211.184196113916
76740,210.093465477997
76741,211.712043000568
76742,212.726463551928
76743,213.039515217186
76744,210.374765478424
76745,209.390759803922
76746,210.228010279001
76747,210.001044568245
76748,208.710865355973
76749,206.868211731786
76750,205.971314773093
76751,206.537764149942
76752,208.685423567199
76753,209.636871580469
76754,211.255563872255
76755,210.739294580058
76756,208.362871993477
76757,207.16429248578
76758,207.532390917186
76759,208.425299102692
76760,209.727380714214
76761,209.19517236196
76762,209.136522026656
76763,210.00781411716
76764,210.207659618574
76765,209.909872509106
76766,210.010235928904
76767,207.664940184883
76768,206.673208143792
76769,205.315615835777
76770,206.812985541649
76771,208.132661505606
76772,208.25197954903
76773,209.748038000826
76774,209.924446925107
76775,209.128446421588
76776,209.331986341751
76777,210.005026809651
76778,209.367414412616
76779,209.445458871857
76780,208.934309087325
76781,208.211714560356
76782,206.735983923484
76783,206.738958990536
76784,207.183373275946
76785,206.971259488614
76786,206.222370119393
76787,209.217772633745
76788,212.094889338998
76789,212.341195048004
76790,211.741559567523
76791,211.735796915167
76792,211.423113111586
76793,209.418121991191
76794,207.124822641127
76795,206.525861642072
76796,206.680875752321
76797,205.653989637306
76798,203.738377039335
76799,203.665621814475
76800,207.345174563591
76801,208.644056170807
76802,210.058664307595
76803,208.548920994879
76804,208.679494807442
76805,208.058472367049
76806,207.842854935092
76807,207.545712468193
76808,206.122608872609
76809,208.272331786543
76810,210.771528951818
76811,209.251800466003
76812,204.001741384728
76813,201.803838261602
76814,198.774571559726
76815,197.861338367947
76816,190.786460895229
76817,189.301579563183
76818,189.398955296404
76819,187.966986677116
76820,190.233306506682
76821,193.768087855297
76822,195.864132622258
76823,195.395442668306
76824,193.776275174578
76825,192.298404593079
76826,195.095325427468
76827,193.463777130757
76828,192.135615433005
76829,188.591875735006
76830,187.027866698519
76831,185.889798033356
76832,184.617771661082
76833,183.409101489758
76834,184.087352149245
76835,187.018783542039
76836,186.925152111668
76837,188.000194046206
76838,189.452448846321
76839,186.636372397841
76840,185.283730845814
76841,183.972317653277
76842,182.764094545145
76843,181.811311126552
76844,181.709105148461
76845,182.062546641791
76846,183.476647842992
76847,183.248304618768
76848,183.841100531038
76849,183.728257282926
76850,183.426206290291
76851,182.283318969888
76852,181.487489574646
76853,180.984753550543
76854,180.45270481551
76855,180.685236842105
76856,180.194875151027
76857,179.742877527329
76858,181.592673453633
76859,182.182872034507
76860,182.096332296527
76861,181.61161722817
76862,180.956494219929
76863,180.19029345899
76864,181.224905749293
76865,181.637339158825
76866,182.367749419953
76867,181.708163858222
76868,180.978250196387
76869,181.255775383457
76870,181.572364732268
76871,182.289161767495
76872,183.512517531557
76873,183.588353889943
76874,182.052689165532
76875,180.649524087024
76876,179.888945799963
76877,180.841682091624
76878,181.403776299651
76879,182.761063703116
76880,183.565375707669
76881,183.960447051363
76882,182.967702371218
76883,183.775014772504
76884,184.987189366211
76885,184.778829479769
76886,186.065633181422
76887,186.998805408702
76888,185.463948717949
76889,182.745209596219
76890,181.177976919935
76891,181.060189676918
76892,181.119319227231
76893,182.529275843503
76894,183.474777777778
76895,184.323241748359
76896,185.049699082919
76897,185.955950932685
76898,186.723552281563
76899,187.50945791874
76900,187.067001870907
76901,185.018962768693
76902,183.53433319398
76903,183.060772151899
76904,181.352004776908
76905,179.66701853759
76906,179.950308829485
76907,180.83518848701
76908,179.143159678103
76909,181.58145782644
76910,184.58562388768
76911,185.378049075598
76912,184.087308285907
76913,182.816205815279
76914,182.105702331704
76915,180.258626302083
